REGIÓN,IES,PERSONA JURÍDICA,SEDE-LOCAL-FILIAL,DIRECCIÓN,PROGRAMAS LICENCIADOS,NIVEL,MODALIDAD
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,CONTABILIDAD (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,CONTABILIDAD,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",CONTABILIDAD,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 05,AV. CAJAHUAMAN N° 846,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 06,AV. INDUSTRIAL N° 3733,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 07,AV. PIRAMIDES DEL SOL N° 810,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,MARKETING,Profesional Técnico,PRESENCIAL
AREQUIPA,CERTUS,INVERSIONES EDUCA S.A.,FILIAL AREQUIPA - LOCAL N° 10,AV. GOYENECHE N° 325,MARKETING,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",MARKETING,Profesional Técnico,PRESENCIAL
LAMBAYEQUE,CERTUS,INVERSIONES EDUCA S.A.,FILIAL CHICLAYO  - LOCAL N° 09,"AV. MANUEL ARTEAGA N° 530, 540 Y 550",MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 02,AV. SANTIAGO DE SURCO N° 4286,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 03,AV. LA MARINA N° 3315,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 04,AV. CAJAHUAMAN N° 863,MARKETING,Profesional Técnico,PRESENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,LOCAL 08,AV. NICOLAS AYLLÓN N° 6420,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CERTUS,INVERSIONES EDUCA S.A.,SEDE PRINCIPAL-LOCAL 01,AV. SANTIAGO DE SURCO N° 4717,MARKETING (SEMIPRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,SEDE PRINCIPAL - LOCAL01,"CARRETERA CENTRAL KM. 29, CALLE CAMINO REAL S/N.",EXPLOTACIÓN DE MINAS,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,SEDE PRINCIPAL - LOCAL01,"CARRETERA CENTRAL KM. 29, CALLE CAMINO REAL S/N.",GEOLOGÍA Y EXPLORACIÓN,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,SEDE PRINCIPAL - LOCAL01,"CARRETERA CENTRAL KM. 29, CALLE CAMINO REAL S/N.",MEDIO AMBIENTE,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,SEDE PRINCIPAL - LOCAL01,"CARRETERA CENTRAL KM. 29, CALLE CAMINO REAL S/N.",PROCESOS METALÚRGICOS Y QUÍMICOS,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,MANTENIMIENTO DE EQUIPO PESADO,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,MANTENIMIENTO ELÉCTRICO E INSTRUMENTACIÓN,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,MANTENIMIENTO DE PLANTAS INDUSTRIALES,Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,"PREVENCIÓN DE RIESGO, SEGURIDAD Y SALUD OCUPACIONAL",Técnico ,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,SUPERVISIÓN DE EQUIPOS DE MINERÍA SUBTERRRÁNEA,Profesional Técnico,PRESENCIAL
LIMA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 02,CARRETERA CENTRAL KM 29,MANTENIMIENTO INDUSTRIAL,Profesional Técnico,PRESENCIAL
